reclat,reclong,mass
50.775,6.08333,2
56.18333,10.23333,2
54.21667,-113,6
16.88333,-99.9,6
-33.16667,-64.95,4
32.1,71.8,8
44.83333,95.16667,8
44.21667,0.61667,2
-31.6,-65.23333,4
-30.86667,-64.55,4
16.39806,-9.57028,2
19.08333,8.38333,2
50.66667,2.33333,2
29.51667,35.05,8
29.71667,77.95,8
8.91667,8.43333,2
39.91667,42.81667,8
24.41667,39.51667,8
13.66033,28.96,2
44.11667,4.08333,2
44.65,11.01667,2
2,22.66667,2
45.82133,6.01533,2
51.78333,-1.78333,2
36.23333,37.13333,8
44.88333,8.75,2
50.95,31.81667,8
45.26667,10.15,2
42.53333,-85.88333,6
26.96667,-105.31667,6
20.74575,32.41275,8
35.27333,44.21556,8
27.66667,78.25,8
26.58333,85.56667,8
44.61667,-70.75,6
48.7,37.5,8
20.88333,76.86667,8
0,0,2
47.46667,-0.55,2
-22.96667,-44.31667,2
9.53333,39.71667,8
25.15,105.18333,8
40.81056,140.78556,8
53.58333,-2.71667,2
43.86667,5.38333,2
-33,-66,4
38.5,-94.3,6
-31.41667,-60.66667,4
42.45,9.03333,2
31.805,-97.01,6
52.05,0.3,2
43.03333,12.55,2
25.25417,80.625,8
20.06667,-103.66667,6
34.75,-87,6
34.31667,-96.15,6
44.38333,5.16667,2
36.16667,3.66667,2
44.33333,3.23333,2
43.08333,0.58333,2
-21.46028,-49.95083,4
46,13.5,2
25,-103.5,6
2.71667,32.83333,2
36.8,-108,6
48.6,38,8
28.48333,78.5,8
35.96667,-82.48333,6
34.5,-88.66667,6
5.38333,16.38333,2
16.66667,101.18333,8
-6.91667,107.6,8
27.7,76.33333,8
30.4,78.2,8
-6.33333,106,8
43.95,-0.05,2
41.36667,2.16667,2
42.38333,-2.5,2
52.73333,84.08333,8
52,9.1,2
31.61667,76.8,8
52.56528,-1.33972,2
15.78333,-5.9,2
52.03333,20.93583,2
45.41667,-98.31667,6
38.25,-83.75,6
40.66813,-117.18913,6
11.08333,-0.18333,2
36.75,-93.5,6
39.8,-101.2,6
51.16667,-117.33333,6
53.01667,-4.1,2
33.6,-96.46667,6
-32.33333,-64.86667,4
25.36667,82.91667,8
32.25,-8.15,2
32.86667,10.8,2
39.08333,-89.15,6
-26.16667,28.41667,2
30,-7,2
45.95,-67.55,6
-31.91,-58.32833,4
11.65,-3.65,2
41.68333,-3.8,2
40.30583,-105.02325,6
42.53333,-73.83333,6
43.21667,-0.23333,2
33.88333,35.5,8
20.88333,74.83333,8
26.50833,73.11528,8
20.83333,71.46667,8
22.68333,90.65,8
22.08333,86.9,8
53.1,23.2,8
50.13333,27.16667,8
12.45,-0.08333,2
-33.15639,115.67639,5
13.76667,5.3,2
34.16667,-80.28333,6
25.38333,82.6,8
49.78333,30.16667,8
60.4,25.8,8
40.91667,-78.08333,6
36.83333,-97.33333,6
31.83333,-98.83333,6
49.36667,16.63333,2
40.48,-89.00417,6
33.83333,115.83333,8
23,-102,6
12.5,0.7,2
44.55,131.63333,8
44.86667,10.05,2
21.95,78.03333,8
54.23333,52.48333,8
48.15,24.28333,8
55.46667,35.86667,8
51.33333,33.88333,8
17.71067,-11.3715,2
17.17493,-11.34133,2
54.56667,-6.33333,2
40.5,-80.08333,6
50.6,16.3,2
50.66694,8.18361,2
53.4,9.1,2
52.13333,59.31667,8
53.9,-112.88333,6
39.77978,64.60035,8
-31.35,129.19,3
10.01667,9.58333,2
5,48,8
37.62194,-82.23722,6
40.2,29.23333,8
46.45,25.78333,8
26.78333,82.83333,8
27.08333,84.08333,8
52.996,-109.84817,6
37.98333,-1.16667,2
35.5,-93.5,6
43.83889,20.33333,2
3.405,-76.51,6
11.75,122.33333,8
-7.03333,-40.16667,2
39.8,26.6,8
41.25,1.66667,2
43.38333,-5.15,2
38.47028,-105.24139,6
37.26667,-89.58333,6
-30.88333,-64.55,4
-16.66444,-69.04389,4
38.5,27,8
36.08333,-78.06667,6
43.35,11.5,2
44.38333,-68.75,6
39.8,16.2,2
36.5,-79.25,6
